 #N     h      T-rule     S-rule    G-Quad            eT            eS            eG
629   0.0050  1.999996  2.000000  1.999999    0.202656E-05    0.238419E-06    0.298023E-06
633   0.0050  1.999996  2.000000  1.999999    0.184774E-05    0.119209E-06    0.298023E-06
637   0.0049  1.999996  2.000000  1.999999    0.184774E-05    0.000000E+00    0.655651E-06
641   0.0049  1.999996  1.999999  2.000000    0.184774E-05    0.596046E-06    0.596046E-07
645   0.0049  1.999995  2.000000  1.999999    0.250340E-05    0.238419E-06    0.536442E-06
649   0.0048  1.999997  2.000001  2.000000    0.160933E-05    0.596046E-06    0.238419E-06
653   0.0048  1.999996  1.999999  2.000000    0.214577E-05    0.417233E-06    0.119209E-06
657   0.0048  1.999997  2.000000  1.999998    0.154972E-05    0.238419E-06    0.953674E-06
661   0.0048  1.999997  2.000000  1.999999    0.166893E-05    0.596046E-07    0.536442E-06
665   0.0047  1.999996  2.000000  1.999999    0.196695E-05    0.238419E-06    0.417233E-06
669   0.0047  1.999997  2.000000  2.000000    0.149012E-05    0.119209E-06    0.238419E-06
673   0.0047  1.999997  2.000000  1.999999    0.143051E-05    0.119209E-06    0.417233E-06
677   0.0046  1.999996  2.000001  1.999999    0.202656E-05    0.715256E-06    0.596046E-06
681   0.0046  1.999996  2.000001  1.999998    0.214577E-05    0.476837E-06    0.953674E-06
685   0.0046  1.999997  2.000000  2.000000    0.172853E-05    0.000000E+00    0.238419E-06
689   0.0046  1.999997  2.000000  1.999999    0.143051E-05    0.238419E-06    0.536442E-06
693   0.0045  1.999997  2.000001  2.000000    0.160933E-05    0.357628E-06    0.238419E-06
697   0.0045  1.999996  2.000001  1.999999    0.208616E-05    0.476837E-06    0.655651E-06
701   0.0045  1.999997  2.000001  2.000000    0.143051E-05    0.357628E-06    0.596046E-07
705   0.0045  1.999997  2.000000  2.000000    0.172853E-05    0.000000E+00    0.119209E-06
709   0.0044  1.999997  1.999999  1.999999    0.154972E-05    0.476837E-06    0.536442E-06
713   0.0044  1.999997  2.000000  1.999999    0.166893E-05    0.119209E-06    0.357628E-06
717   0.0044  1.999997  2.000000  2.000000    0.166893E-05    0.000000E+00    0.119209E-06
721   0.0044  1.999998  2.000000  1.999999    0.113249E-05    0.238419E-06    0.298023E-06
725   0.0043  1.999998  2.000000  2.000000    0.834465E-06    0.000000E+00    0.119209E-06
729   0.0043  1.999997  1.999999  1.999998    0.166893E-05    0.476837E-06    0.774860E-06
733   0.0043  1.999996  2.000001  1.999999    0.196695E-05    0.596046E-06    0.417233E-06
737   0.0043  1.999997  2.000000  1.999999    0.137091E-05    0.238419E-06    0.655651E-06
741   0.0042  1.999998  1.999999  2.000000    0.119209E-05    0.417233E-06    0.238419E-06
745   0.0042  1.999996  1.999999  2.000000    0.184774E-05    0.298023E-06    0.178814E-06
749   0.0042  1.999997  2.000001  1.999999    0.160933E-05    0.476837E-06    0.357628E-06
753   0.0042  1.999998  2.000000  1.999999    0.774860E-06    0.238419E-06    0.298023E-06
757   0.0042  1.999996  2.000001  1.999999    0.178814E-05    0.357628E-06    0.596046E-06
761   0.0041  1.999996  1.999999  2.000000    0.220537E-05    0.298023E-06    0.119209E-06
765   0.0041  1.999997  2.000000  2.000000    0.149012E-05    0.178814E-06    0.000000E+00
769   0.0041  1.999997  1.999999  1.999999    0.172853E-05    0.298023E-06    0.476837E-06
773   0.0041  1.999997  2.000000  2.000000    0.160933E-05    0.596046E-07    0.000000E+00
777   0.0040  1.999998  2.000000  1.999999    0.894070E-06    0.596046E-07    0.596046E-06
781   0.0040  1.999997  2.000001  2.000000    0.172853E-05    0.357628E-06    0.238419E-06
785   0.0040  1.999998  2.000000  1.999999    0.119209E-05    0.238419E-06    0.596046E-06
789   0.0040  1.999998  2.000000  2.000000    0.953674E-06    0.000000E+00    0.119209E-06
793   0.0040  1.999998  2.000000  2.000000    0.107288E-05    0.119209E-06    0.000000E+00
797   0.0039  1.999997  2.000001  1.999999    0.154972E-05    0.596046E-06    0.417233E-06
801   0.0039  1.999997  1.999999  2.000001    0.143051E-05    0.357628E-06    0.357628E-06
